iter	Passed	Remaining
0	267	53264
1	352	34925
2	436	28658
3	527	25847
4	626	24422
5	729	23574
6	831	22913
7	922	22147
8	1019	21636
9	1109	21077
10	1198	20592
11	1293	20269
12	1406	20234
13	1515	20140
14	1609	19847
15	1708	19643
16	1804	19428
17	1902	19235
18	2039	19433
19	2151	19365
20	2250	19179
21	2362	19116
22	2456	18907
23	2536	18601
24	2651	18558
25	2764	18499
26	2891	18529
27	2996	18409
28	3089	18215
29	3179	18014
30	3280	17882
31	3384	17768
32	3492	17675
33	3596	17559
34	3714	17510
35	3798	17302
36	3995	17601
37	4110	17525
38	4193	17310
39	4298	17192
40	4385	17006
41	4478	16847
42	4568	16681
43	4655	16504
44	4745	16346
45	4845	16220
46	4958	16141
47	5069	16052
48	5155	15887
49	5236	15709
50	5301	15488
51	5376	15302
52	5466	15161
53	5548	15001
54	5623	14824
55	5697	14650
56	5761	14453
57	5824	14261
58	5904	14111
59	5992	13983
60	6075	13844
61	6168	13730
62	6243	13577
63	6318	13426
64	6401	13294
65	6474	13144
66	6533	12969
67	6596	12804
68	6649	12623
69	6703	12449
70	6748	12261
71	6810	12107
72	6891	11989
73	6969	11866
74	7029	11715
75	7078	11549
76	7131	11392
77	7181	11232
78	7225	11067
79	7278	10917
80	7334	10774
81	7402	10651
82	7467	10526
83	7542	10415
84	7612	10298
85	7696	10202
86	7774	10098
87	7855	9997
88	7938	9901
89	7999	9776
90	8048	9640
91	8098	9507
92	8145	9371
93	8189	9235
94	8242	9110
95	8297	8989
96	8355	8872
97	8424	8767
98	8493	8665
99	8556	8556
100	8616	8446
101	8677	8337
102	8747	8238
103	8805	8128
104	8854	8010
105	8903	7895
106	8948	7777
107	8998	7665
108	9046	7552
109	9099	7444
110	9156	7341
111	9207	7234
112	9276	7142
113	9343	7048
114	9402	6949
115	9458	6849
116	9508	6745
117	9569	6650
118	9619	6547
119	9679	6453
120	9749	6365
121	9818	6277
122	9876	6183
123	9941	6093
124	10001	6001
125	10063	5910
126	10122	5818
127	10194	5734
128	10265	5650
129	10342	5569
130	10414	5485
131	10472	5394
132	10530	5304
133	10582	5212
134	10628	5117
135	10674	5023
136	10720	4929
137	10769	4838
138	10831	4753
139	10918	4679
140	10985	4596
141	11045	4511
142	11100	4424
143	11148	4335
144	11195	4246
145	11245	4159
146	11292	4071
147	11335	3982
148	11376	3893
149	11416	3805
150	11458	3718
151	11500	3631
152	11542	3545
153	11585	3460
154	11631	3376
155	11682	3295
156	11739	3215
157	11787	3133
158	11841	3053
159	11891	2972
160	11940	2892
161	11989	2812
162	12038	2732
163	12084	2652
164	12128	2572
165	12173	2493
166	12218	2414
167	12262	2335
168	12304	2257
169	12348	2179
170	12388	2100
171	12431	2023
172	12478	1947
173	12530	1872
174	12581	1797
175	12630	1722
176	12679	1647
177	12726	1572
178	12769	1498
179	12816	1424
180	12857	1349
181	12900	1275
182	12938	1201
183	12977	1128
184	13016	1055
185	13055	982
186	13094	910
187	13133	838
188	13173	766
189	13217	695
190	13263	624
191	13317	554
192	13367	484
193	13414	414
194	13463	345
195	13509	275
196	13561	206
197	13610	137
198	13659	68
199	13707	0
